category,stimulus,preamble,prompt,response_no,response,matches,preamble_type,ground_truth,prompt_type
tree,ash_2,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_0,False.,True,default,False,subordinate
tree,ash_3,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_0,False.,True,default,False,subordinate
tree,willow_2,You are an AI assistant.,Does this image contain an elm? Answer true or false.,response_0,False.,True,default,False,subordinate
tree,willow_3,You are an AI assistant.,Does this image contain an elm? Answer true or false.,response_0,False.,True,default,False,subordinate
tree,ash_4,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_0,False.,True,default,False,subordinate
tree,willow_1,You are an AI assistant.,Does this image contain an elm? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,dandelion_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,tulip_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,lotus_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,lily_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,lily_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,rose_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,lily_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,tulip_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,lotus_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,dandelion_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,rose_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,dandelion_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,lotus_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,tulip_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,rose_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,rose_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,dandelion_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,tulip_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,lotus_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,lily_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,buttercup_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,buttercup_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,poppy_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,orchid_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,buttercup_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,poppy_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,orchid_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,poppy_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,orchid_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,orchid_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,poppy_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,buttercup_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,daffodil_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,sunflower_4,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,daffodil_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,sunflower_1,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,sunflower_3,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,daffodil_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,daffodil_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_0,False.,True,default,False,subordinate
flower,sunflower_2,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,labrador_3,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,labrador_2,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,poodle_1,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,wolfhound_4,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,poodle_3,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,labrador_1,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,poodle_2,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,wolfhound_3,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,labrador_4,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,wolfhound_2,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,poodle_4,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,wolfhound_1,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,dachshund_2,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,collie_4,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,beagle_3,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,beagle_2,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,dachshund_3,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,dachshund_1,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,beagle_1,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,collie_2,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,dachshund_4,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,beagle_4,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,collie_3,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,collie_1,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,dalmatian_4,You are an AI assistant.,Does this image contain a spaniel? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,spaniel_4,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,dalmatian_2,You are an AI assistant.,Does this image contain a spaniel? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,spaniel_3,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,spaniel_2,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,dalmatian_3,You are an AI assistant.,Does this image contain a spaniel? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,dalmatian_1,You are an AI assistant.,Does this image contain a spaniel? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,spaniel_1,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,chihuahua_2,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,chihuahua_3,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,bulldog_1,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,bulldog_3,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,chihuahua_1,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,bulldog_2,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,chihuahua_4,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
dog,bulldog_4,You are an AI assistant.,Does this image contain a dalmatian? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,robin_3,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,robin_2,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,robin_1,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,robin_4,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,cockatoo_1,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,goose_4,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,cockatoo_2,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,cockatoo_3,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,goose_3,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,goose_2,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,cockatoo_4,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,goose_1,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,duck_1,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,duck_2,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,duck_3,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,ostrich_3,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,duck_4,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,chicken_1,You are an AI assistant.,Does this image contain a goose? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,ostrich_1,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,kingfisher_2,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,eagle_3,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,eagle_2,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,kingfisher_3,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,toucan_4,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,chicken_2,You are an AI assistant.,Does this image contain a goose? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,ostrich_2,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,kingfisher_1,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,eagle_1,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,macaw_4,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,chicken_3,You are an AI assistant.,Does this image contain a goose? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,toucan_3,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,kingfisher_4,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,eagle_4,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,macaw_1,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,toucan_2,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,chicken_4,You are an AI assistant.,Does this image contain a goose? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,macaw_3,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,ostrich_4,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,macaw_2,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
bird,toucan_1,You are an AI assistant.,Does this image contain a chicken? Answer true or false.,response_0,False.,True,default,False,subordinate
tree,beech_1,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,birch_2,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,birch_3,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,True.,False,default,False,subordinate
tree,beech_2,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,birch_1,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,True.,False,default,False,subordinate
tree,beech_3,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,birch_4,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,beech_4,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,sycamore_4,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,oak_2,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,"False. The tree in the image is not a willow; willow trees typically have drooping branches and narrow leaves, which is not the case for the tree shown in the image.",True,default,False,subordinate
tree,oak_3,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,spruce_4,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,oak_1,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,spruce_3,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,oak_4,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,sycamore_2,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,sycamore_3,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,spruce_2,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,sycamore_1,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,spruce_1,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,palmtree_2,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,hazel_1,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,palmtree_3,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,palmtree_1,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,hazel_3,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,elm_4,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,hazel_2,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,palmtree_4,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,elm_1,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,elm_3,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,True.,False,default,False,subordinate
tree,elm_2,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,hazel_4,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,ash_1,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,willow_4,You are an AI assistant.,Does this image contain an elm? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,ash_2,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,ash_3,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,willow_2,You are an AI assistant.,Does this image contain an elm? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,willow_3,You are an AI assistant.,Does this image contain an elm? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,ash_4,You are an AI assistant.,Does this image contain a willow? Answer true or false.,response_1,False.,True,default,False,subordinate
tree,willow_1,You are an AI assistant.,Does this image contain an elm? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,dandelion_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,tulip_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,lotus_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,lily_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,lily_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,rose_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,lily_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,tulip_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,lotus_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,dandelion_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,rose_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,dandelion_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,lotus_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,tulip_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,rose_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,rose_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,dandelion_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,tulip_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,lotus_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,lily_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,buttercup_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,buttercup_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,poppy_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,orchid_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,buttercup_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,poppy_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,orchid_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,poppy_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,orchid_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,orchid_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,poppy_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,buttercup_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,daffodil_4,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,sunflower_4,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,daffodil_1,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,sunflower_1,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,sunflower_3,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,daffodil_3,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,daffodil_2,You are an AI assistant.,Does this image contain a sunflower? Answer true or false.,response_1,False.,True,default,False,subordinate
flower,sunflower_2,You are an AI assistant.,Does this image contain a dandelion? Answer true or false.,response_1,False.,True,default,False,subordinate
